beta,mix_ratio,cases
2.161655716725363607e-01,4.323311433450727215e-01,9.930000000000000000e+02
4.937355743221399917e-02,9.874711486442799835e-02,5.370000000000000000e+02
4.028622358169655082e-01,8.057244716339310164e-01,3.050000000000000000e+02
4.012008190413735020e-01,8.024016380827470041e-01,7.680000000000000000e+02
1.616564634106636422e-01,3.233129268213272844e-01,3.010000000000000000e+02
1.610229161180022905e-01,3.220458322360045811e-01,3.630000000000000000e+02
2.447880117113781506e-01,4.895760234227563013e-01,9.800000000000000000e+01
1.326382820473753776e-02,2.652765640947507553e-02,9.200000000000000000e+01
1.902828308120665390e-01,3.805656616241330781e-01,1.740000000000000000e+02
4.800945581923818373e-01,9.601891163847636745e-01,1.010000000000000000e+03
4.921815888200774536e-01,9.843631776401549072e-01,4.390000000000000000e+02
3.857036195249219368e-02,7.714072390498438736e-02,4.300000000000000000e+01
3.699372320469253017e-01,7.398744640938506034e-01,6.300000000000000000e+02
1.642096330877794164e-01,3.284192661755588327e-01,6.230000000000000000e+02
3.302313608994569272e-01,6.604627217989138543e-01,5.110000000000000000e+02
4.746294320571846637e-01,9.492588641143693273e-01,2.200000000000000000e+02
4.312017989433301057e-01,8.624035978866602115e-01,1.830000000000000000e+02
1.587442271473537558e-01,3.174884542947075117e-01,2.480000000000000000e+02
1.450202679972139586e-01,2.900405359944279171e-01,5.470000000000000000e+02
1.505534762116996772e-01,3.011069524233993544e-01,7.630000000000000000e+02
2.252547738449072745e-01,4.505095476898145490e-01,4.330000000000000000e+02
1.301472019816557468e-02,2.602944039633114937e-02,9.900000000000000000e+01
1.951387476113514707e-01,3.902774952227029415e-01,4.660000000000000000e+02
1.033005084938203866e-01,2.066010169876407732e-01,4.620000000000000000e+02
2.108680069750090147e-01,4.217360139500180294e-01,8.560000000000000000e+02
4.966667681009537816e-01,9.933335362019075632e-01,6.020000000000000000e+02
4.242145395132287944e-01,8.484290790264575888e-01,4.090000000000000000e+02
1.369632447853927903e-01,2.739264895707855807e-01,3.660000000000000000e+02
1.437342739278553161e-01,2.874685478557106322e-01,2.980000000000000000e+02
3.359596610303580144e-01,6.719193220607160288e-01,2.440000000000000000e+02
1.051241519589145579e-01,2.102483039178291158e-01,3.190000000000000000e+02
3.212983410871823597e-01,6.425966821743647195e-01,1.271000000000000000e+03
1.600626828158748793e-01,3.201253656317497587e-01,2.110000000000000000e+02
1.579215979565241623e-01,3.158431959130483246e-01,7.300000000000000000e+01
4.879422548903399881e-01,9.758845097806799762e-01,6.680000000000000000e+02
4.124995641615519792e-01,8.249991283231039585e-01,5.720000000000000000e+02
2.277144682991750213e-01,4.554289365983500426e-01,3.790000000000000000e+02
2.105746808293947891e-01,4.211493616587895783e-01,1.200000000000000000e+02
3.330204883337508082e-01,6.660409766675016163e-01,3.300000000000000000e+02
1.534457778352431578e-01,3.068915556704863157e-01,4.100000000000000000e+02
1.942840001571866093e-01,3.885680003143732186e-01,4.280000000000000000e+02
4.252463922793684459e-01,8.504927845587368918e-01,5.290000000000000000e+02
3.252892442994892441e-02,6.505784885989784883e-02,5.090000000000000000e+02
4.747069097769928137e-01,9.494138195539856273e-01,5.830000000000000000e+02
4.485738552816088132e-01,8.971477105632176263e-01,9.020000000000000000e+02
3.813944774313834940e-01,7.627889548627669880e-01,5.000000000000000000e+00
2.137644587581685185e-01,4.275289175163370370e-01,3.100000000000000000e+02
4.189085045715701394e-01,8.378170091431402788e-01,3.470000000000000000e+02
3.456342239947681194e-01,6.912684479895362388e-01,7.040000000000000000e+02
2.168566603060589904e-02,4.337133206121179807e-02,2.060000000000000000e+02
5.535696243538212880e-02,1.107139248707642576e-01,1.760000000000000000e+02
4.671946704549483909e-01,9.343893409098967817e-01,7.380000000000000000e+02
2.648758591011477481e-01,5.297517182022954962e-01,6.640000000000000000e+02
3.344331599882840456e-01,6.688663199765680911e-01,5.070000000000000000e+02
